Nome do jogador,País do jogador,Posição do jogador,Time do jogador,Idade,Ano de nascimento,Jogos disputados,Jogos iniciados pelo jogador,Minutos jogados,Minutos jogados divididos por 90,Gols sofridos,Gols sofridos por 90 minutos,Chutes a gol sofridos,Defesas,Porcentagem de defesas,Vitórias,Empates,Derrotas,Partidas sem gols sofridos,Porcentagem de partidas sem gols sofridos,Pênaltis batidos contra o goleiro,Gols de pênalti convertidos contra o goleiro,Chutes de pênaltis salvos,Chutes de pênaltis perdidos,Porcentagem de defesas em pênaltis,Gols sofridos de tiros diretos,Gols sofridos de escanteio,Gols contra,Probabilidade de Gols Após Chutes Defendidos (PSxG - Gols Esperados Pós Chute),Probabilidade de Gols em Chutes no Alvo (PSxG por Chute no Alvo),Eficiência do Goleiro: Gols Esperados Menos Gols Sofridos (PSxG-GA),Eficiência do Goleiro por 90 Minutos: Gols Esperados Menos Gols Sofridos (PSxG-GA/90),Lançamentos concluídos (maiores que 40 jardas),Lançamentos tentados (maiores que 40 jardas),Porcentagem de lançamentos concluídos (maiores que 40 jardas),Passes Tentados pelo Goleiro (Exceto Tiros de Meta),Lançamentos de Mão Tentados pelo Goleiro,Porcentagem de Passes Lançados (Exceto Tiros de Meta),Comprimento Médio dos Passes (Exceto Tiros de Meta),Tiros de Meta Tentados,Porcentagem de Tiros de Meta Lançados,Comprimento Médio dos Tiros de Meta,Cruzamentos Enfrentados,Cruzamentos Interceptados pelo Goleiro,Porcentagem de Cruzamentos Interceptados pelo Goleiro,Ações Defensivas Fora da Área de Pênalti,Ações Defensivas Fora da Área de Pênalti por 90 Minutos,Distância Média das Ações Defensivas
Lucas Acosta,ARG,Goleiro,Sarmiento,29,1995,11,11,990,11.0,11,1.0,51,40,78.4,3,4,4,6,54.5,0,0,0,0,0.0,1,3,0,15.4,0.32,4.4,0.4,82,243,33.7,168,15,71.4,53.6,138,89.1,65.3,200,7,3.5,4,0.36,11.9
Alan Aguerre,ARG,Goleiro,Lanús,34,1990,9,9,810,9.0,13,1.44,37,24,67.6,3,4,2,1,11.1,1,1,0,0,0.0,0,1,0,11.3,0.28,-1.7,-0.19,56,149,37.6,172,21,52.9,41.1,82,70.7,52.6,152,3,2.0,3,0.33,12.7
Facundo Altamirano,ARG,Goleiro,San Lorenzo,28,1996,7,7,630,7.0,8,1.14,24,17,66.7,1,3,3,2,28.6,0,0,0,0,0.0,1,2,1,8.3,0.37,1.3,0.18,18,71,25.4,168,23,30.4,32.3,45,44.4,40.8,97,3,3.1,6,0.86,15.3
Ignacio Arce,ARG,Goleiro,Deportivo Riestra,32,1992,15,15,1350,15.0,15,1.0,62,47,77.4,7,2,6,7,46.7,1,1,0,0,0.0,0,1,0,18.1,0.28,3.1,0.2,152,410,37.1,400,20,76.5,51.1,126,82.5,59.1,346,19,5.5,20,1.33,15.5
Gabriel Arias,CHI,Goleiro,Racing Club,37,1987,12,12,1035,11.5,6,0.52,30,24,80.0,6,2,4,7,58.3,1,0,0,1,0.0,0,0,0,6.2,0.21,0.2,0.01,55,136,40.4,233,31,40.3,38.3,83,50.6,41.9,119,4,3.4,10,0.87,17.4
Franco Armani,ARG,Goleiro,River Plate,37,1986,12,12,1080,12.0,6,0.5,21,15,76.2,6,4,2,7,58.3,1,1,0,0,0.0,0,0,0,6.7,0.27,0.7,0.06,25,65,38.5,241,63,19.5,27.8,75,24.0,29.4,123,8,6.5,14,1.17,16.5
Thyago Ayala,ARG,Goleiro,Sarmiento,23,2001,1,1,90,1.0,0,0.0,3,3,100.0,0,1,0,1,100.0,0,0,0,0,0.0,0,0,0,0.5,0.16,0.5,0.49,8,24,33.3,16,0,93.8,63.1,9,100.0,66.0,17,0,0.0,0,0.0,0.0
Marcelo Barovero,ARG,Goleiro,Banfield,40,1984,2,2,118,1.3,1,0.76,2,1,50.0,0,1,1,0,0.0,0,0,0,0,0.0,0,0,0,0.9,0.46,-0.1,-0.06,4,12,33.3,34,4,23.5,28.6,14,28.6,29.9,20,1,5.0,0,0.0,6.0
Enrique Bologna,ARG,Goleiro,Defensa y Just,42,1982,5,5,450,5.0,5,1.0,16,11,75.0,2,1,2,3,60.0,1,1,0,0,0.0,0,1,0,5.2,0.28,0.2,0.03,28,65,43.1,95,20,44.2,38.5,45,51.1,41.3,86,5,5.8,1,0.2,10.6
Leandro Brey,ARG,Goleiro,Boca Juniors,22,2002,2,1,99,1.1,3,2.73,6,3,83.3,1,0,0,0,0.0,2,2,0,0,0.0,1,0,0,2.7,0.12,-0.3,-0.31,2,17,11.8,32,6,46.9,38.7,6,33.3,24.8,17,4,23.5,0,0.0,9.7
Jorge Broun,ARG,Goleiro,Rosario Central,38,1986,12,12,1080,12.0,13,1.08,50,37,78.0,4,3,5,3,25.0,2,2,0,0,0.0,1,3,0,12.2,0.21,-0.8,-0.07,47,132,35.6,225,60,40.0,37.1,82,51.2,43.3,142,8,5.6,1,0.08,8.9
Facundo Cambeses,ARG,Goleiro,Racing Club,27,1997,4,3,315,3.5,7,2.0,17,10,58.8,1,1,1,0,0.0,0,0,0,0,0.0,0,0,0,5.6,0.34,-1.4,-0.39,9,42,21.4,69,8,42.0,37.7,25,52.0,43.0,44,2,4.5,2,0.57,11.6
Dante Campisi,ARG,Goleiro,Unión,27,1996,1,1,90,1.0,1,1.0,3,2,66.7,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1.2,0.41,0.2,0.24,5,8,62.5,11,1,45.5,39.5,5,60.0,48.0,2,0,0.0,1,1.0,28.0
Thiago Cardozo,URU,Goleiro,Unión,28,1996,14,14,1260,14.0,11,0.79,46,34,78.3,6,6,2,8,57.1,2,1,1,0,50.0,0,2,0,12.4,0.23,1.4,0.1,69,202,34.2,256,60,52.3,41.9,117,58.1,44.8,211,14,6.6,9,0.64,13.4
Ezequiel Centurión,ARG,Goleiro,River Plate,27,1997,1,1,90,1.0,2,2.0,3,1,66.7,0,0,1,0,0.0,1,1,0,0,0.0,0,0,0,1.6,0.22,-0.4,-0.35,1,6,16.7,23,10,26.1,33.0,2,0.0,16.5,8,1,12.5,0,0.0,13.0
Ezequiel Centurión,ARG,Goleiro,Independiente Rivadavia,27,1997,10,10,900,10.0,13,1.3,39,25,66.7,3,2,5,4,40.0,1,0,1,0,100.0,0,3,0,8.3,0.19,-4.7,-0.47,42,146,28.8,147,32,59.2,44.4,99,59.6,46.8,174,11,6.3,3,0.3,8.9
Ignacio Chicco,ARG,Goleiro,Belgrano,28,1996,5,5,450,5.0,5,1.0,16,11,68.8,2,2,1,2,40.0,0,0,0,0,0.0,0,0,0,5.0,0.33,0.0,0.0,19,46,41.3,134,23,26.9,29.8,29,34.5,31.4,83,8,9.6,8,1.6,14.6
Mateo Clemente,0,Goleiro,San Lorenzo,28,1994,1,1,90,1.0,1,1.0,2,1,50.0,0,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0.3,0.15,-0.7,-0.69,0,1,0.0,10,2,10.0,27.1,2,0.0,31.5,3,0,0.0,1,1.0,29.0
Juan Cozzani,ARG,Goleiro,Platense,25,1998,14,14,1259,14.0,14,1.0,47,33,72.3,4,4,6,5,35.7,2,1,0,1,0.0,1,3,0,14.7,0.3,0.7,0.05,93,272,34.2,257,15,69.3,48.4,101,93.1,64.4,175,11,6.3,14,1.0,17.0
Tomás Durso,ARG,Goleiro,Atlé Tucumán,25,1999,15,15,1350,15.0,16,1.07,60,43,75.0,7,4,4,6,40.0,2,1,1,0,50.0,1,4,0,17.6,0.26,1.6,0.11,116,282,41.1,240,23,71.7,48.4,119,92.4,63.1,252,8,3.2,4,0.27,10.1
Juan Espínola,PAR,Goleiro,Belgrano,29,1994,5,5,450,5.0,5,1.0,24,19,79.2,1,2,2,1,20.0,0,0,0,0,0.0,0,1,0,6.0,0.27,1.0,0.2,26,77,33.8,121,11,46.3,40.3,34,61.8,50.7,112,14,12.5,2,0.4,9.4
Rafael Ferrario,ARG,Goleiro,Barracas Central,24,2000,1,1,90,1.0,0,0.0,1,1,100.0,1,0,0,1,100.0,0,0,0,0,0.0,0,0,0,0.4,0.41,0.4,0.41,11,32,34.4,20,1,75.0,53.5,17,100.0,64.7,32,2,6.3,1,1.0,11.4
Cristopher Fiermarin,URU,Goleiro,Defensa y Just,26,1998,10,10,900,10.0,17,1.7,42,26,64.3,0,5,5,1,10.0,3,2,1,0,33.3,1,0,2,15.8,0.31,0.8,0.08,45,111,40.5,280,45,28.6,31.1,102,30.4,33.3,171,10,5.8,4,0.4,11.4
Hernán Galíndez,ECU,Goleiro,Huracán,37,1987,13,13,1170,13.0,7,0.54,35,28,82.9,5,6,2,7,53.8,1,1,0,0,0.0,0,2,0,10.4,0.27,3.4,0.26,62,203,30.5,357,49,42.0,38.7,99,53.5,45.9,196,16,8.2,5,0.38,11.0
Lautaro Garzón,ARG,Goleiro,Vélez Sarsfield,21,2003,1,0,39,0.4,1,2.31,2,1,50.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.6,0.3,-0.4,-0.92,0,1,0.0,7,2,0.0,27.1,2,50.0,41.0,6,1,16.7,0,0.0,8.0
Gastón Gómez,ARG,Goleiro,San Lorenzo,28,1996,6,6,540,6.0,4,0.67,19,14,84.2,2,2,2,2,33.3,1,1,0,0,0.0,0,0,0,5.0,0.25,1.0,0.17,29,70,41.4,118,20,39.0,36.2,47,51.1,41.5,80,1,1.3,2,0.33,13.4
Guido Herrera,ARG,Goleiro,Talleres,32,1992,14,14,1260,14.0,15,1.07,51,37,76.5,6,6,2,4,28.6,3,3,0,0,0.0,0,2,1,12.4,0.2,-1.6,-0.11,104,223,46.6,354,36,50.8,40.0,100,43.0,37.8,227,17,7.5,10,0.71,11.8
Lucas Hoyos,ARG,Goleiro,Newell's OB,35,1989,8,8,720,8.0,6,0.75,21,15,76.2,2,2,4,4,50.0,2,1,0,1,0.0,0,0,0,7.1,0.29,1.1,0.14,42,116,36.2,195,17,46.2,37.6,52,50.0,40.2,106,9,8.5,5,0.63,11.5
Marcos Ignacio Ledesma,ARG,Goleiro,Gimnasia–LP,28,1996,7,7,630,7.0,3,0.43,18,15,83.3,3,3,1,4,57.1,1,0,0,1,0.0,0,0,0,4.5,0.25,1.5,0.21,35,105,33.3,126,32,50.0,40.9,65,64.6,49.0,107,10,9.3,8,1.14,12.7
