Nome do jogador,Posição do jogador,Minutos jogados,Gols sofridos,Gols sofridos por 90 minutos,Chutes a gol sofridos,Defesas,Porcentagem de defesas,Partidas sem gols sofridos,Porcentagem de partidas sem gols sofridos,Pênaltis batidos contra o goleiro,Gols de pênalti convertidos contra o goleiro,Chutes de pênaltis salvos,Chutes de pênaltis perdidos,Porcentagem de defesas em pênaltis,Gols sofridos de tiros diretos,Gols sofridos de escanteio,Probabilidade de Gols Após Chutes Defendidos (PSxG - Gols Esperados Pós Chute),Probabilidade de Gols em Chutes no Alvo (PSxG por Chute no Alvo),Eficiência do Goleiro: Gols Esperados Menos Gols Sofridos (PSxG-GA),Eficiência do Goleiro por 90 Minutos: Gols Esperados Menos Gols Sofridos (PSxG-GA/90),Lançamentos concluídos (maiores que 40 jardas),Lançamentos tentados (maiores que 40 jardas),Porcentagem de lançamentos concluídos (maiores que 40 jardas),Passes Tentados pelo Goleiro (Exceto Tiros de Meta),Lançamentos de Mão Tentados pelo Goleiro,Porcentagem de Passes Lançados (Exceto Tiros de Meta),Comprimento Médio dos Passes (Exceto Tiros de Meta),Tiros de Meta Tentados,Porcentagem de Tiros de Meta Lançados,Comprimento Médio dos Tiros de Meta,Cruzamentos Enfrentados,Cruzamentos Interceptados pelo Goleiro,Porcentagem de Cruzamentos Interceptados pelo Goleiro,Ações Defensivas Fora da Área de Pênalti,Ações Defensivas Fora da Área de Pênalti por 90 Minutos,Distância Média das Ações Defensivas
Alisson,Goleiro,296,4,1.22,13,9,69.2,0,0.0,0,0,0,0,0.0,0,1,3.2,0.25,-0.8,-0.25,18,55,32.7,64,15,48.4,37.4,40,60.0,46.0,66,3,4.5,1,0.3,10.0
Anderson,Goleiro,1350,17,1.13,58,42,72.4,6,40.0,1,1,0,0,0.0,0,2,19.0,0.31,3.0,0.2,26,79,32.9,280,68,21.4,28.7,110,17.3,24.6,212,9,4.2,9,0.6,12.2
Anthoni,Goleiro,180,1,0.5,5,3,80.0,1,50.0,1,0,1,0,100.0,0,0,1.8,0.18,0.8,0.41,14,45,31.1,46,5,52.2,38.6,26,80.8,56.2,47,1,2.1,0,0.0,9.4
Lucas Arcanjo,Goleiro,2430,42,1.56,125,83,68.8,5,18.5,4,3,0,1,0.0,1,8,34.8,0.26,-7.2,-0.27,84,315,26.7,627,77,35.2,33.0,193,48.7,41.9,467,20,4.3,12,0.44,10.7
Muriel Becker,Goleiro,90,0,0.0,2,2,100.0,1,100.0,0,0,0,0,0.0,0,0,0.6,0.32,0.6,0.64,11,21,52.4,20,2,60.0,42.9,10,90.0,60.0,19,1,5.3,0,0.0,12.0
Bento,Goleiro,630,4,0.57,25,20,84.0,4,57.1,1,0,1,0,100.0,0,1,6.5,0.24,2.5,0.36,45,86,52.3,123,18,39.8,34.8,47,78.7,55.7,86,6,7.0,2,0.29,11.3
Rafael Cabral,Goleiro,450,8,1.6,23,15,69.6,1,20.0,1,1,0,0,0.0,0,0,8.4,0.32,0.4,0.09,24,72,33.3,104,19,45.2,36.8,46,54.3,40.6,69,5,7.2,2,0.4,13.6
Caíque,Goleiro,270,5,1.67,13,9,61.5,0,0.0,0,0,0,0,0.0,0,1,4.1,0.31,0.1,0.02,9,39,23.1,44,14,59.1,41.7,23,56.5,43.7,43,3,7.0,1,0.33,12.4
Cássio,Goleiro,270,3,1.0,14,11,78.6,1,33.3,0,0,0,0,0.0,0,0,3.7,0.27,0.7,0.24,11,25,44.0,68,16,26.5,31.6,19,36.8,38.0,29,3,10.3,1,0.33,12.4
Cássio,Goleiro,1170,11,0.85,59,48,83.1,5,38.5,1,1,0,0,0.0,0,2,16.2,0.27,5.2,0.4,28,76,36.8,255,60,23.5,31.1,84,19.0,23.2,195,6,3.1,7,0.54,12.4
