Nome do jogador,Posição do jogador,Gols feitos,Assistências,Gols + Assistências,Gols normais (exceto pênaltis),Gols esperados,Gols normais esperados (exceto pênaltis),Assistências esperadas,Gols esperados + Assistências esperadas (exceto pênaltis),Conduções progressivas,Passes progressivos,Passes progressivos recebidos,Gols por 90 minutos,Assistências por 90 minutos,Gols + Assistências por 90 minutos,Gols normais por 90 minutos,Gols + Assistências exceto pênaltis por 90 minutos,Gols esperados por 90 minutos,Assistências esperadas por 90 minutos,Gols + Assistências esperadas por 90 minutos,Gols normais + Assistências esperadas por 90 minutos,Total de chutes,Chutes a gol,Porcentagem de Chutes a gol,Chutes por 90 minutos,Chutes a gol por 90 minutos,Gols por chute,Gols por chute a gol,Distância média das finalizações,Chutes de falta,Pênaltis batidos,Gols normais esperados por chute,Diferença entre Gols e Gols Esperados (G-xG),Diferença entre Gols normais e Gols Esperados (G-xG),Passes concluídos,Passes tentados,Porcentagem de conclusão de passes,Distância total dos passes,Distância progressiva dos passes,Passes curtos concluídos,Passes curtos tentados,Porcentagem de passes curtos concluídos,Passes médios concluídos,Passes médios tentados,Porcentagem de passes médios concluídos,Passes longos concluídos,Passes longos tentados,Porcentagem de passes longos concluídos,Expectativa de assistencias,Assistencias menos gol assistidos esperados,Passes importantes,Passes no terço final,Passes para a área de pênalti,Cruzamentos para a área de pênalti,Passes em jogo,Passes de bola parada,Passes de bola parada (falta),Passes entre os zagueiros,Passes de reversão (mais de 40 jardas),Cruzamentos,Passes concluídos (tipo),Ações que levam a chutes,Ações que levam a chutes por 90 minutos,Passes em jogo que levam a chutes,Passes de bola parada que levam a chutes,Faltas ganhas que levam a chutes,Chutes que levam a outros chutes,Faltas que levam a chutes,Ações defensivas que levam a chutes,Ações que levam a gols,Ações que levam a gols por 90 minutos,Passes em jogo que levam a gols,Passes de bola parada que levam a gols,Faltas ganhas que levam a gols,Chutes que levam a gols,Faltas que levam a gols,Ações defensivas que levam a gols,Botes defensivos,Botes com recuperação de posse,Botes no terço defensivo,Botes no terço médio,Botes no terço ofensivo,Dribles defendidos,Tentativas de desarme,Porcentagem de desarmes bem-sucedidos,Tentativas frustradas de desarme,Bolas bloqueadas,Chutes bloqueados,Passes bloqueados,Interceptações,Botes + Interceptações,Cortes,Erros que levaram a chutes adversários,Toques na bola,Toques na área defensiva,Toques no terço defensivo,Toques no terço médio,Toques no terço ofensivo,Toques na área ofensiva,Toques com bola em jogo,Tentativas de drible,Dribles bem-sucedidos,Porcentagem de dribles bem-sucedidos,Vezes desarmado durante o drible,Porcentagem de vezes que foi desarmado,Conduções,Distância total das conduções,Distância progressiva das conduções,Conduções para o terço final,Conduções para a área de pênalti,Passes recebidos,Faltas sofridas,Recuperações de bola,Disputas aéreas vencidas,Disputas aéreas perdidas,Porcentagem de disputas aéreas vencidas
Matías Abaldo,Atacante,3,2,5,3,1.9,1.9,2.5,4.3,36,37,101,0.29,0.20,0.49,0.29,0.49,0.18,0.24,0.42,0.42,24,10,41.7,2.35,0.98,0.13,0.30,15.3,0,0,0.08,+1.1,+1.1,197,312,63.1,3391,1180,116,150,77.3,49,85,57.6,28,51,54.9,1.3,-0.5,21,23,20,11,296,16,3,0,2,47,197,32,3.13,26,1,2,2,1,0,2,0.20,2,0,0,0,0,0,3,3,0,0,3,2,10,20.0,8,10,0,10,4,7,1,0,431,1,33,131,276,56,431,40,16,40.0,22,55.0,261,1652,815,15,11,314,7,40,2,1,66.7
Lucas Abascia,Defensor,0,0,0,0,0.1,0.1,0.1,0.1,3,38,0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,2,1,50.0,0.25,0.12,0.00,0.00,8.4,0,0,0.05,-0.1,-0.1,359,468,76.7,7629,2893,104,119,87.4,195,214,91.1,57,117,48.7,0.1,-0.1,2,31,1,0,447,19,17,0,10,0,359,4,0.50,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,17,13,13,4,0,9,15,60.0,6,8,5,3,10,27,34,0,541,46,241,294,8,2,541,3,3,100.0,0,0.0,281,1583,1044,1,0,344,5,38,21,27,43.8
Luciano Abecasis,Defensor,0,0,0,0,0.1,0.1,0.5,0.6,3,17,13,0.00,0.00,0.00,0.00,0.00,0.01,0.12,0.13,0.13,2,0,0.0,0.43,0.00,0.00,0,18.3,0,0,0.03,-0.1,-0.1,98,148,66.2,2102,902,39,51,76.5,34,51,66.7,22,33,66.7,0.3,-0.5,3,9,4,4,112,35,0,0,6,14,98,10,2.16,7,1,1,0,0,1,0,0.00,0,0,0,0,0,0,14,9,9,5,0,10,14,71.4,4,8,0,8,1,15,9,0,204,12,48,94,63,1,204,8,2,25.0,5,62.5,76,323,141,1,0,92,3,12,4,9,30.8
Ramón Ábila,Atacante,0,0,0,0,0.3,0.3,0.3,0.6,2,6,18,0.00,0.00,0.00,0.00,0.00,0.13,0.11,0.24,0.24,2,0,0.0,0.77,0.00,0.00,0,16.5,0,0,0.17,-0.3,-0.3,35,56,62.5,486,147,17,28,60.7,14,22,63.6,1,1,100.0,0.2,-0.3,6,2,3,1,53,3,0,0,0,1,35,12,4.62,9,0,1,1,1,0,1,0.38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,3,0,78,3,3,38,38,7,78,3,1,33.3,2,66.7,45,166,60,1,1,59,2,7,6,8,42.9
Gonzalo Abrego,Meio-campista,2,0,2,2,0.8,0.8,0.1,0.8,10,25,18,0.40,0.00,0.40,0.40,0.40,0.15,0.02,0.17,0.17,9,4,44.4,1.78,0.79,0.22,0.50,21.0,2,0,0.08,+1.2,+1.2,181,235,77.0,3100,975,87,102,85.3,66,74,89.2,22,43,51.2,0.3,-0.1,3,21,2,0,228,6,2,1,6,12,181,6,1.19,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,15,8,6,7,2,6,11,54.5,5,7,1,6,2,17,5,0,294,8,55,190,59,9,294,9,4,44.4,4,44.4,183,824,369,4,1,201,5,36,10,6,62.5
Jonás Acevedo,Meio-campista,0,1,1,0,0.5,0.5,1.3,1.8,25,59,60,0.00,0.08,0.08,0.00,0.08,0.04,0.10,0.14,0.14,16,1,6.3,1.28,0.08,0.00,0.00,23.7,2,0,0.03,-0.5,-0.5,334,484,69.0,5610,1826,163,196,83.2,119,155,76.8,37,87,42.5,1.7,-0.3,21,51,12,4,420,59,15,0,4,76,334,44,3.51,26,11,3,3,1,0,2,0.16,2,0,0,0,0,0,20,16,3,12,5,7,17,41.2,10,14,2,12,6,26,10,0,618,5,64,287,274,10,618,35,20,57.1,15,42.9,343,2075,898,21,3,382,25,53,10,13,43.5
Matías Acevedo,Meio-campista,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.06,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,5,6,83.3,78,9,3,3,100.0,2,3,66.7,0,0,0,0.0,0.0,1,0,0,0,6,0,0,0,0,1,5,1,5.63,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,11,0,0,5,6,1,11,1,1,100.0,0,0.0,3,19,3,0,0,4,0,0,0,0,0
Guillermo Acosta,Meio-campista,0,0,0,0,0.5,0.5,0.6,1.1,6,69,13,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.09,14,1,7.1,1.14,0.08,0.00,0.00,24.7,0,0,0.04,-0.5,-0.5,396,557,71.1,6614,2527,182,221,82.4,173,227,76.2,33,71,46.5,0.8,-0.6,11,55,9,3,535,20,12,0,3,11,396,16,1.31,16,0,0,0,0,0,1,0.08,1,0,0,0,0,0,15,9,3,10,2,5,16,31.3,11,14,3,11,11,26,32,0,677,32,158,407,115,8,677,6,3,50.0,3,50.0,237,1132,583,6,0,321,9,64,20,16,55.6
Lautaro Acosta,Meio-campista,0,0,0,0,0.0,0.0,0.0,0.0,4,15,8,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,1,0,0.0,0.29,0.00,0.00,0,10.1,0,0,0.03,0.0,0.0,74,100,74.0,1022,338,41,50,82.0,25,35,71.4,3,4,75.0,0.1,0.0,1,7,1,0,96,3,0,1,0,2,74,4,1.17,3,0,0,0,1,0,1,0.29,1,0,0,0,0,0,6,3,2,3,1,3,11,27.3,8,2,0,2,2,8,5,0,138,6,27,77,37,3,138,4,3,75.0,1,25.0,63,341,158,4,0,81,6,14,4,3,57.1
Marcos Acuña,Defensor,0,0,0,0,0.1,0.1,0.8,0.9,10,22,32,0.00,0.00,0.00,0.00,0.00,0.03,0.19,0.23,0.23,3,0,0.0,0.72,0.00,0.00,0,20.8,0,0,0.05,-0.1,-0.1,244,319,76.5,4042,1573,129,142,90.8,93,115,80.9,22,51,43.1,0.6,-0.8,10,16,5,4,260,59,8,0,0,41,244,18,4.33,11,5,1,0,1,0,0,0.00,0,0,0,0,0,0,8,8,7,1,0,5,8,62.5,3,6,0,6,1,9,5,0,348,9,84,165,105,2,348,8,6,75.0,2,25.0,187,858,497,4,1,211,9,30,9,4,69.2
