Nome do jogador,Posição do jogador,Gols feitos,Assistências,Gols + Assistências,Gols normais (exceto pênaltis),Gols esperados,Gols normais esperados (exceto pênaltis),Assistências esperadas,Gols esperados + Assistências esperadas (exceto pênaltis),Conduções progressivas,Passes progressivos,Passes progressivos recebidos,Gols por 90 minutos,Assistências por 90 minutos,Gols + Assistências por 90 minutos,Gols normais por 90 minutos,Gols + Assistências exceto pênaltis por 90 minutos,Gols esperados por 90 minutos,Assistências esperadas por 90 minutos,Gols + Assistências esperadas por 90 minutos,Gols normais + Assistências esperadas por 90 minutos,Total de chutes,Chutes a gol,Porcentagem de Chutes a gol,Chutes por 90 minutos,Chutes a gol por 90 minutos,Gols por chute,Gols por chute a gol,Distância média das finalizações,Chutes de falta,Pênaltis batidos,Gols normais esperados por chute,Diferença entre Gols e Gols Esperados (G-xG),Diferença entre Gols normais e Gols Esperados (G-xG),Passes concluídos,Passes tentados,Porcentagem de conclusão de passes,Distância total dos passes,Distância progressiva dos passes,Passes curtos concluídos,Passes curtos tentados,Porcentagem de passes curtos concluídos,Passes médios concluídos,Passes médios tentados,Porcentagem de passes médios concluídos,Passes longos concluídos,Passes longos tentados,Porcentagem de passes longos concluídos,Expectativa de assistencias,Assistencias menos gol assistidos esperados,Passes importantes,Passes no terço final,Passes para a área de pênalti,Cruzamentos para a área de pênalti,Passes em jogo,Passes de bola parada,Passes de bola parada (falta),Passes entre os zagueiros,Passes de reversão (mais de 40 jardas),Cruzamentos,Passes concluídos (tipo),Ações que levam a chutes,Ações que levam a chutes por 90 minutos,Passes em jogo que levam a chutes,Passes de bola parada que levam a chutes,Faltas ganhas que levam a chutes,Chutes que levam a outros chutes,Faltas que levam a chutes,Ações defensivas que levam a chutes,Ações que levam a gols,Ações que levam a gols por 90 minutos,Passes em jogo que levam a gols,Passes de bola parada que levam a gols,Faltas ganhas que levam a gols,Chutes que levam a gols,Faltas que levam a gols,Ações defensivas que levam a gols,Botes defensivos,Botes com recuperação de posse,Botes no terço defensivo,Botes no terço médio,Botes no terço ofensivo,Dribles defendidos,Tentativas de desarme,Porcentagem de desarmes bem-sucedidos,Tentativas frustradas de desarme,Bolas bloqueadas,Chutes bloqueados,Passes bloqueados,Interceptações,Botes + Interceptações,Cortes,Erros que levaram a chutes adversários,Toques na bola,Toques na área defensiva,Toques no terço defensivo,Toques no terço médio,Toques no terço ofensivo,Toques na área ofensiva,Toques com bola em jogo,Tentativas de drible,Dribles bem-sucedidos,Porcentagem de dribles bem-sucedidos,Vezes desarmado durante o drible,Porcentagem de vezes que foi desarmado,Conduções,Distância total das conduções,Distância progressiva das conduções,Conduções para o terço final,Conduções para a área de pênalti,Passes recebidos,Faltas sofridas,Recuperações de bola,Disputas aéreas vencidas,Disputas aéreas perdidas,Porcentagem de disputas aéreas vencidas
Abner,Defensor,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,19,28,67.9,415,166,7,8,87.5,10,11,90.9,2,8,25.0,0.0,0.0,0,3,1,0,26,2,1,0,2,0,19,1,0.83,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,2,0,0,2,4,50.0,2,1,1,0,3,5,10,1,46,14,29,14,3,0,46,0,0,0.0,0,0.0,21,80,22,0,0,18,1,3,3,3,50.0
Luiz Adriano,Atacante,0,1,1,0,0.1,0.1,0.1,0.2,1,4,9,0.0,0.45,0.45,0.0,0.45,0.06,0.04,0.09,0.09,2,1,50.0,0.89,0.45,0.0,0.0,10.9,0,0,0.06,-0.1,-0.1,32,45,71.1,426,67,13,18,72.2,13,16,81.3,0,1,0.0,0.1,0.9,2,3,1,0,40,5,0,0,0,0,32,2,0.89,2,0,0,0,0,0,1,0.45,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,1,1,0,0,0,0,58,1,5,36,17,7,58,2,0,0.0,2,100.0,25,117,29,2,1,44,5,3,9,13,40.9
Adryelson,Defensor,0,0,0,0,0.0,0.0,0.0,0.0,2,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,64,70,91.4,1153,523,31,33,93.9,27,27,100.0,6,7,85.7,0.0,0.0,0,2,0,0,69,0,0,0,2,0,64,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.0,0,1,0,1,1,2,6,0,80,7,42,36,2,2,80,0,0,0.0,0,0.0,50,187,90,0,0,64,0,1,4,1,80.0
Adson,Atacante,2,1,3,2,1.5,1.5,2.6,4.1,42,72,80,0.15,0.07,0.22,0.15,0.22,0.11,0.19,0.3,0.3,25,10,40.0,1.84,0.74,0.08,0.2,20.0,0,0,0.06,0.5,0.5,528,622,84.9,7363,1834,321,350,91.7,159,184,86.4,22,33,66.7,3.2,-1.6,21,49,19,3,604,15,2,3,1,22,528,53,3.9,46,2,5,0,0,0,5,0.37,4,0,1,0,0,0,25,20,11,9,5,5,18,27.8,13,15,2,13,6,31,9,0,793,8,105,383,318,39,793,50,25,50.0,24,48.0,478,2848,1434,37,7,575,18,73,9,12,42.9
Lucas Alario,Atacante,0,0,0,0,1.9,1.9,0.1,2.0,0,7,22,0.0,0.0,0.0,0.0,0.0,0.27,0.02,0.29,0.29,13,2,15.4,1.85,0.28,0.0,0.0,11.2,1,0,0.15,-1.9,-1.9,82,113,72.6,957,188,51,63,81.0,22,31,71.0,1,1,100.0,0.2,-0.1,3,4,1,0,108,4,0,0,0,2,82,9,1.28,7,0,0,2,0,0,1,0.14,0,0,0,1,0,0,5,1,1,2,2,0,5,0.0,5,2,0,2,1,6,14,0,184,13,27,86,72,24,184,10,6,60.0,3,30.0,70,221,56,2,1,119,6,13,15,40,27.3
Carlos Alberto,Atacante,1,0,1,1,1.6,1.6,0.1,1.6,6,3,5,0.44,0.0,0.44,0.44,0.44,0.69,0.03,0.72,0.72,8,3,37.5,3.51,1.32,0.13,0.33,9.0,0,0,0.2,-0.6,-0.6,14,20,70.0,180,41,8,10,80.0,5,6,83.3,0,0,0.0,0.1,-0.1,1,1,2,0,18,1,0,0,0,2,14,6,2.62,2,0,3,1,0,0,0,0.0,0,0,0,0,0,0,3,2,2,1,0,1,2,50.0,1,3,1,2,0,3,2,0,48,2,8,15,28,14,48,6,4,66.7,2,33.3,23,235,168,4,3,25,2,5,3,5,37.5
Yuri Alberto,Atacante,5,3,8,4,4.5,3.7,1.7,5.4,26,21,117,0.29,0.17,0.46,0.23,0.4,0.26,0.1,0.36,0.31,49,16,32.7,2.81,0.92,0.08,0.25,16.7,0,1,0.08,0.5,0.3,214,295,72.5,2699,492,128,168,76.2,54,61,88.5,8,11,72.7,1.1,1.3,17,12,10,0,251,41,0,0,2,4,214,47,2.69,27,0,3,8,7,2,7,0.4,4,0,1,0,1,1,6,3,0,3,3,3,8,37.5,5,8,1,7,6,12,9,0,478,9,26,202,258,82,477,39,14,35.9,22,56.4,271,1461,572,14,15,341,33,52,27,53,33.8
Carlos Alcaraz,Meio-campista,0,1,1,0,0.2,0.2,0.1,0.3,7,10,10,0.0,0.48,0.48,0.0,0.48,0.09,0.07,0.16,0.16,4,1,25.0,1.9,0.48,0.0,0.0,28.0,1,0,0.05,-0.2,-0.2,100,119,84.0,1618,475,52,57,91.2,35,41,85.4,8,14,57.1,0.2,0.9,6,15,1,0,111,7,1,1,2,5,100,13,6.19,8,3,0,1,1,0,1,0.48,1,0,0,0,0,0,7,3,3,3,1,2,7,28.6,5,2,1,1,0,7,2,0,143,5,19,84,43,2,143,5,0,0.0,3,60.0,89,448,243,9,0,104,4,7,0,0,0.0
Alerrandro,Atacante,6,4,10,3,5.7,3.3,2.2,5.5,8,32,60,0.33,0.22,0.55,0.17,0.39,0.32,0.12,0.44,0.3,41,15,36.6,2.27,0.83,0.07,0.2,19.3,0,3,0.08,0.3,-0.3,242,340,71.2,3388,725,128,163,78.5,87,114,76.3,10,19,52.6,0.9,1.8,21,19,9,0,289,50,1,1,1,5,242,45,2.49,34,0,2,6,2,1,5,0.28,5,0,0,0,0,0,16,11,4,11,1,6,18,33.3,12,19,5,14,8,24,17,0,507,18,53,272,186,59,504,16,6,37.5,8,50.0,248,891,367,3,1,310,34,59,29,56,34.1
Caio Alexandre,Meio-campista,2,0,2,2,0.9,0.9,1.9,2.8,63,178,37,0.08,0.0,0.08,0.08,0.08,0.04,0.08,0.12,0.12,17,4,23.5,0.7,0.17,0.12,0.5,25.0,0,0,0.05,1.1,1.1,1710,1883,90.8,28735,7631,805,847,95.0,742,796,93.2,122,172,70.9,1.9,-1.9,24,204,19,6,1790,88,77,3,17,19,1710,58,2.4,55,0,1,1,1,0,3,0.12,3,0,0,0,0,0,52,26,22,28,2,26,61,42.6,35,19,1,18,9,61,17,1,2059,28,413,1363,297,13,2059,23,14,60.9,8,34.8,1395,7491,4319,54,5,1683,41,114,6,9,40.0
