Nome do jogador,Posição do jogador,Minutos jogados,Gols feitos,Assistências,Gols + Assistências,Gols normais (exceto pênaltis),Gols esperados,Gols normais esperados (exceto pênaltis),Assistências esperadas,Gols esperados + Assistências esperadas (exceto pênaltis),Conduções progressivas,Passes progressivos,Passes progressivos recebidos,Gols por 90 minutos,Assistências por 90 minutos,Gols + Assistências por 90 minutos,Gols normais por 90 minutos,Gols + Assistências exceto pênaltis por 90 minutos,Gols esperados por 90 minutos,Assistências esperadas por 90 minutos,Gols + Assistências esperadas por 90 minutos,Gols normais + Assistências esperadas por 90 minutos,Total de chutes,Chutes a gol,Porcentagem de Chutes a gol,Chutes por 90 minutos,Chutes a gol por 90 minutos,Gols por chute,Gols por chute a gol,Distância média das finalizações,Chutes de falta,Pênaltis batidos,Gols normais esperados por chute,Diferença entre Gols e Gols Esperados (G-xG),Diferença entre Gols normais e Gols Esperados (G-xG),Passes concluídos,Passes tentados,Porcentagem de conclusão de passes,Distância total dos passes,Distância progressiva dos passes,Passes curtos concluídos,Passes curtos tentados,Porcentagem de passes curtos concluídos,Passes médios concluídos,Passes médios tentados,Porcentagem de passes médios concluídos,Passes longos concluídos,Passes longos tentados,Porcentagem de passes longos concluídos,Expectativa de assistencias,Assistencias menos gol assistidos esperados,Passes importantes,Passes no terço final,Passes para a área de pênalti,Cruzamentos para a área de pênalti,Passes em jogo,Passes de bola parada,Passes de bola parada (falta),Passes entre os zagueiros,Passes de reversão (mais de 40 jardas),Cruzamentos,Passes concluídos (tipo),Ações que levam a chutes,Ações que levam a chutes por 90 minutos,Passes em jogo que levam a chutes,Passes de bola parada que levam a chutes,Faltas ganhas que levam a chutes,Chutes que levam a outros chutes,Faltas que levam a chutes,Ações defensivas que levam a chutes,Ações que levam a gols,Ações que levam a gols por 90 minutos,Passes em jogo que levam a gols,Passes de bola parada que levam a gols,Faltas ganhas que levam a gols,Chutes que levam a gols,Faltas que levam a gols,Ações defensivas que levam a gols,Botes defensivos,Botes com recuperação de posse,Botes no terço defensivo,Botes no terço médio,Botes no terço ofensivo,Dribles defendidos,Tentativas de desarme,Porcentagem de desarmes bem-sucedidos,Tentativas frustradas de desarme,Bolas bloqueadas,Chutes bloqueados,Passes bloqueados,Interceptações,Botes + Interceptações,Cortes,Erros que levaram a chutes adversários,Toques na bola,Toques na área defensiva,Toques no terço defensivo,Toques no terço médio,Toques no terço ofensivo,Toques na área ofensiva,Toques com bola em jogo,Tentativas de drible,Dribles bem-sucedidos,Porcentagem de dribles bem-sucedidos,Vezes desarmado durante o drible,Porcentagem de vezes que foi desarmado,Conduções,Distância total das conduções,Distância progressiva das conduções,Conduções para o terço final,Conduções para a área de pênalti,Passes recebidos,Faltas sofridas,Recuperações de bola,Disputas aéreas vencidas,Disputas aéreas perdidas,Porcentagem de disputas aéreas vencidas
José Abella,Defensor,515,0,0,0,0,0.0,0.0,0.2,0.2,1,20,6,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,250,335,74.6,4722,2055,115,123,93.5,98,135,72.6,33,67,49.3,0.2,-0.2,5,23,1,1,255,80,7,0,3,7,250,9,1.57,6,2,0,0,1,0,0,0.0,0,0,0,0,0,0,12,5,9,3,0,7,14,50.0,7,5,3,2,7,19,15,0,380,20,130,194,58,2,380,1,1,100.0,0,0.0,169,515,231,3,0,202,5,24,9,5,64.3
Daniel Aceves,Defensor,98,0,0,0,0,0.2,0.2,0.1,0.3,2,1,6,0.0,0.0,0.0,0.0,0.0,0.21,0.06,0.28,0.28,4,1,25.0,3.67,0.92,0.0,0.0,19.3,0,0,0.06,-0.2,-0.2,50,61,82.0,740,258,25,29,86.2,21,24,87.5,2,6,33.3,0.1,-0.1,1,2,0,0,48,13,1,0,0,2,50,2,1.84,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,3,2,3,0,0,2,2,100.0,0,3,2,1,2,5,4,0,83,7,36,23,24,4,83,1,0,0.0,1,100.0,33,89,32,1,0,44,0,1,2,2,50.0
Sergio Aguayo,Atacante,157,1,0,1,1,0.6,0.6,0.5,1.0,1,3,9,0.57,0.0,0.57,0.57,0.57,0.34,0.26,0.6,0.6,6,2,33.3,3.44,1.15,0.17,0.5,13.5,0,0,0.1,0.4,0.4,25,36,69.4,331,42,18,22,81.8,4,6,66.7,2,2,100.0,0.0,-0.5,2,2,1,0,36,0,0,0,0,0,25,4,2.29,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0,4,2,0,1,3,0,2,0.0,2,0,0,0,0,4,2,0,59,2,5,23,32,10,59,3,0,0.0,3,100.0,36,162,46,0,0,49,4,3,5,5,50.0
Eduardo Águila,Defensor,721,0,0,0,0,0.1,0.1,0.0,0.1,5,16,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,2,1,50.0,0.25,0.12,0.0,0.0,13.0,0,0,0.07,-0.1,-0.1,357,416,85.8,7924,2894,87,92,94.6,210,227,92.5,59,94,62.8,0.1,0.0,0,27,0,0,404,11,10,0,6,1,357,5,0.62,4,0,0,1,0,0,1,0.12,0,0,0,1,0,0,8,3,6,2,0,6,9,66.7,3,6,4,2,9,17,44,0,496,78,301,194,4,2,496,0,0,0.0,0,0.0,293,1479,700,2,1,337,4,23,15,8,65.2
Eduardo Aguirre,Atacante,770,3,0,3,3,2.6,2.6,0.2,2.8,9,4,27,0.35,0.0,0.35,0.35,0.35,0.3,0.03,0.33,0.33,20,6,30.0,2.34,0.7,0.15,0.5,18.9,0,0,0.13,0.4,0.4,85,127,66.9,1202,185,50,70,71.4,20,25,80.0,8,12,66.7,0.2,-0.2,4,2,0,0,101,25,1,0,0,6,85,14,1.64,6,1,2,0,4,1,1,0.12,0,0,0,0,1,0,6,3,2,2,2,1,5,20.0,4,4,0,4,0,6,7,0,216,7,15,92,113,24,216,11,4,36.4,7,63.6,117,613,196,9,1,148,13,13,22,35,38.6
Érick Aguirre,Defensor,303,0,0,0,0,0.0,0.0,0.2,0.2,6,11,14,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.05,0.05,1,0,0.0,0.3,0.0,0.0,0.0,12.8,0,0,0.02,0.0,0.0,141,178,79.2,2452,940,58,66,87.9,69,83,83.1,12,24,50.0,0.1,-0.2,2,14,1,1,142,36,1,0,0,5,141,2,0.59,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,7,4,6,1,0,4,7,57.1,3,5,1,4,5,12,6,0,203,8,55,99,50,2,203,1,1,100.0,0,0.0,89,358,170,2,0,115,0,12,3,4,42.9
Gaddi Aguirre,Defensor,285,0,0,0,0,0.2,0.2,0.0,0.2,2,6,5,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,5,1,20.0,1.58,0.32,0.0,0.0,18.1,0,0,0.03,-0.2,-0.2,110,161,68.3,2008,896,51,61,83.6,49,64,76.6,10,31,32.3,0.0,0.0,0,6,0,0,122,39,1,0,0,4,110,4,1.26,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0,4,4,3,1,0,2,7,28.6,5,6,4,2,4,8,17,0,202,16,73,97,34,4,202,0,0,0.0,0,0.0,97,326,122,1,0,99,4,16,11,3,78.6
Rodrigo Aguirre,Atacante,284,2,0,2,2,1.1,1.1,0.2,1.3,4,3,15,0.63,0.0,0.63,0.63,0.63,0.36,0.05,0.41,0.41,13,6,46.2,4.12,1.9,0.15,0.33,15.7,0,0,0.09,0.9,0.9,32,50,64.0,442,85,15,22,68.2,14,18,77.8,0,2,0.0,0.2,-0.2,3,4,1,0,47,3,0,0,0,2,32,5,1.58,3,0,2,0,0,0,0,0.0,0,0,0,0,0,0,5,2,2,2,1,2,3,66.7,1,6,0,6,0,5,1,0,101,1,9,49,43,16,101,7,4,57.1,3,42.9,60,391,122,2,2,74,3,8,11,7,61.1
Jorge Agustín Rodríguez,Meio-campista,990,0,0,0,0,0.1,0.1,0.2,0.3,3,68,5,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.03,6,0,0.0,0.55,0.0,0.0,0.0,31.9,0,0,0.02,-0.1,-0.1,560,646,86.7,10491,3695,234,257,91.1,244,270,90.4,72,98,73.5,0.5,-0.2,8,70,4,1,621,25,21,1,7,3,560,18,1.64,18,0,0,0,0,0,2,0.18,2,0,0,0,0,0,29,17,13,15,1,14,26,53.8,12,12,4,8,14,43,24,0,754,49,218,463,77,1,754,8,5,62.5,2,25.0,377,1319,591,6,0,495,6,62,9,14,39.1
Arnaud Ake,Atacante,234,0,0,0,0,0.1,0.1,0.2,0.3,4,3,21,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.12,0.12,1,0,0.0,0.38,0.0,0.0,0.0,10.4,0,0,0.14,-0.1,-0.1,35,51,68.6,485,44,19,22,86.4,11,18,61.1,2,3,66.7,0.2,-0.2,4,1,1,0,43,7,0,0,0,0,35,4,1.54,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,1,0,76,1,3,38,38,6,76,2,1,50.0,1,50.0,43,225,80,3,3,59,3,6,4,6,40.0
